PROVIDER NPI,PROVIDER CCN,PROVIDER STATE, PROVIDER CITY,PROVIDER  ADDRESS,PROVIDER ZIP 5 CD,PROVIDER ZIP 4 CD,PROVIDER PHONE NUM,PROVIDER PHONE EXT,PROGRAM YEAR 2011,PROGRAM YEAR 2012,geo.provider,geo.updated_at,geo.data.types.0,geo.data.geometry.location.lat,geo.data.geometry.location.lng,geo.data.formatted_address
1215976675,10038,"Alabama",,"301 E 18th St",36207,3952,2562358906,"","",2012,"DSTK",2013-03-03T17:01:56Z,"street_address",33.667679,-85.82980000000001,"Anniston HMA LLC, 301 E 18th St, Anniston, Alabama 36207"
1568453389,10059,"Alabama",,"202 Hospital St",35650,1218,2569742200,"","",2012,"DSTK",2013-03-03T17:01:57Z,"street_address",34.483701,-87.28600299999999,"Attentus Moulton, LLC, 202 Hospital St, Moulton, Alabama 35650"
1356344915,10025,"Alabama",,"4800 48th St",36854,3666,3347569180,1491,2011,2012,"DSTK",2013-03-03T17:01:57Z,"street_address",32.823827,-85.170208,"Chattahoochee Valley Hospital Society, 4800 48th St, Valley, Alabama 36854"
1659387082,10043,"Alabama",,"1010 Lay Dam Rd",35045,2306,4047884861,"",2011,2012,"DSTK",2013-03-03T17:01:57Z,"street_address",32.846517,-86.624313,"Clanton Hospital LLC, 1010 Lay Dam Rd, Clanton, Alabama 35045"
1659387082,10043,"Alabama",,"1010 Lay Dam Rd",35045,2306,7709337048,"",2011,2012,"DSTK",2013-03-03T17:01:57Z,"street_address",32.846517,-86.624313,"Clanton Hospital LLC, 1010 Lay Dam Rd, Clanton, Alabama 35045"
1477551554,10073,"Alabama",,"83825 Hwy 9, PO Box 1270",36251,1270,2563542131,1176,2011,2012,"DSTK",2013-03-03T17:01:57Z,"locality",33.231227,-85.867186,"CLAY COUNTY HEALTHCARE AUTHORITY, 83825 Hwy 9, PO Box 1270, Ashland, Alabama 36251"
1730120726,10034,"Alabama",,"805 Friendship Rd",36078,1234,3342836541,3734,"",2012,"DSTK",2013-03-03T17:01:57Z,"street_address",32.536508,-85.899885,"Community Hospital Inc, 805 Friendship Rd, Tallassee, Alabama 36078"
1114919339,10035,"Alabama",,"1912 Al Highway 157, P.O. BOX 1108",35058,609,2567372655,"",2011,2012,"DSTK",2013-03-03T17:01:57Z,"locality",34.209766,-86.75202899999999,"Cullman Regional Medical Center, Inc, 1912 Al Highway 157, P O  BOX 1108, Cullman, Alabama 35058"
1609811538,10099,"Alabama",,"1301 Belleville Avenue",36426,"",2518678429,"",2011,2012,"DSTK",2013-03-03T17:01:57Z,"street_address",31.111575,-87.071439,"D W  McMillan Memorial Hospital, 1301 Belleville Avenue, Brewton, Alabama 36426"
1942380357,10021,"Alabama",,"126 Hospital Ave",36360,2018,3347742601,1251,2011,2012,"DSTK",2013-03-03T17:01:57Z,"street_address",31.452121,-85.63094100000001,"DALE MEDICAL CENTER, 126 Hospital Ave, Ozark, Alabama 36360"
1891770368,10148,"Alabama",,"101 Crestview Ave",36401,3333,2515782480,"",2011,2012,"DSTK",2013-03-03T17:01:58Z,"street_address",31.431289,-86.941985,"Evergreen Medical Center LLC, 101 Crestview Ave, Evergreen, Alabama 36401"
1053382655,10083,"Alabama",,"1613 N McKenzie St",36535,2247,2519493400,"","",2012,"DSTK",2013-03-03T17:01:58Z,"street_address",30.370237,-87.68330400000001,"Foley Hospital Corporation, 1613 N McKenzie St, Foley, Alabama 36535"
1992755292,10062,"Alabama",,"1200 W Maple Ave",36340,1694,3346843655,5111,"",2012,"DSTK",2013-03-03T17:01:58Z,"street_address",31.045454,-85.87548099999999,"GENEVA COUNTY HEALTHCARE AUTHORITY, 1200 W Maple Ave, Geneva, Alabama 36340"
1588779920,10051,"Alabama",,"509 WILSON AVE",35462,1064,2053723388,"",2011,2012,"DSTK",2013-03-03T17:01:58Z,"street_address",32.834317,-87.891009,"GREENE COUNTY HOSPITAL   NURSING HOME, 509 WILSON AVE, EUTAW, Alabama 35462"
1780655332,10150,"Alabama",,"29 L V Stabler Dr",36037,3850,3343822671,"","",2012,"DSTK",2013-03-03T17:01:58Z,"street_address",31.827702,-86.64634,"Greenville Hospital Corporation, 29 L V Stabler Dr, Greenville, Alabama 36037"
1447303227,10100,"Alabama",,"750 Morphy Ave",36532,1812,2519901505,"","",2012,"DSTK",2013-03-03T17:01:58Z,"street_address",30.522743,-87.91078400000001,"Gulf Health Hospitals, Inc , 750 Morphy Ave, Fairhope, Alabama 36532"
1225068935,10095,"Alabama",,"508 Green St",36744,2316,3346243024,247,2011,2012,"DSTK",2013-03-03T17:01:58Z,"street_address",32.689487,-87.468531,"Hale County Hospital, 508 Green St, Greensboro, Alabama 36744"
1982662557,10079,"Alabama",,"700 W Market St",35611,2457,2562339292,"",2011,"","DSTK",2013-03-03T17:01:58Z,"locality",34.803255,-86.969848,"Health Care Authority of Athens and Limestone County, 700 W Market St, Athens, Alabama 35611"
1891801718,10138,"Alabama",,"751 Derby Dr",36925,2121,2053925263,"","",2012,"DSTK",2013-03-03T17:01:59Z,"street_address",32.490114,-88.29533499999999,"Hill Hospital of York, 751 Derby Dr, York, Alabama 36925"
1477520526,10102,"Alabama",,"317 McWilliams Ave",36726,1610,3346824131,"",2011,2012,"DSTK",2013-03-03T17:02:00Z,"street_address",31.995205,-87.299414,"J  Paul Jones Hospital, 317 McWilliams Ave, Camden, Alabama 36726"
1659473916,10061,"Alabama",,"380 Woods Cove Rd",35768,"",2562594444,3805,"",2012,"DSTK",2013-03-03T17:02:00Z,"street_address",34.6642,-86.04437299999999,"Jackson County Healthcare Authority, 380 Woods Cove Rd, Scottsboro, Alabama 35768"
1043262488,10024,"Alabama",,"1725 Pine St",36106,1109,3342938000,"","",2012,"DSTK",2013-03-03T17:02:00Z,"street_address",32.366551,-86.28543500000001,"Jackson Hospital and Clinic, Inc , 1725 Pine St, Montgomery, Alabama 36106"
1467469502,10137,"Alabama",,"Cooper Green Mercy Hospital, 1515 6th Avenue South",35233,1601,2059303600,"","",2012,"DSTK",2013-03-03T17:02:00Z,"street_address",33.499144,-86.81720799999999,"Jefferson County Commission, Cooper Green Mercy Hospital, 1515 6th Avenue South, Birmingham, Alabama 35233"
1275600967,10125,"Alabama",,"42024 Highway 195",35565,7054,2054865213,"","",2012,"DSTK",2013-03-03T17:02:00Z,"street_address",34.227585,-87.617296,"Lakeland Community Hospital LLC, 42024 Highway 195, Haleyville, Alabama 35565"
