PROVIDER NPI,PROVIDER CCN,PROVIDER - ORG NAME,PROVIDER STATE,PROVIDER CITY,PROVIDER  ADDRESS,PROVIDER ZIP 5 CD,PROVIDER ZIP 4 CD,PROVIDER PHONE NUM,PROVIDER PHONE EXT,PROGRAM YEAR 2011,PROGRAM YEAR 2012,geo.provider,geo.updated_at,geo.data.types.0,geo.data.geometry.location.lat,geo.data.geometry.location.lng,geo.data.formatted_address
"ELIGIBLE HOSPITALS","","","","","","","","","",,,"DSTK",2013-08-29T21:12:58Z,"country",38.0,-97.0,
1215976675,10038,"Anniston HMA LLC","Alabama","Anniston","301 E 18th St",36207,3952,2562358906,"",,,"DSTK",2013-08-29T21:12:58Z,"locality",33.6597222,-85.8316667,
1568453389,10059,"Attentus Moulton, LLC","Alabama","Moulton","202 Hospital St",35650,1218,2569742200,"",,,"DSTK",2013-08-29T21:12:58Z,"locality",34.4811111,-87.2933333,
1356344915,10025,"Chattahoochee Valley Hospital Society","Alabama","Valley","4800 48th St",36854,3666,3347569180,1491,,,"DSTK",2013-08-29T21:12:58Z,"locality",32.8186111,-85.17944439999999,
1356344915,10025,"Chattahoochee Valley Hospital Society","Alabama","Valley","4800 48th St",36854,3666,3347569180,1491,,,"DSTK",2013-08-29T21:12:58Z,"locality",32.8186111,-85.17944439999999,
1659387082,10043,"Clanton Hospital LLC","Alabama","Clanton","1010 Lay Dam Rd",35045,2306,7709337048,"",,,"DSTK",2013-08-29T21:12:58Z,"locality",32.8386111,-86.6294444,
1659387082,10043,"Clanton Hospital LLC","Alabama","Clanton","1010 Lay Dam Rd",35045,2306,4047884861,"",,,"DSTK",2013-08-29T21:12:58Z,"locality",32.8386111,-86.6294444,
1477551554,10073,"CLAY COUNTY HEALTHCARE AUTHORITY","Alabama","Ashland","83825 Hwy 9, PO Box 1270",36251,1270,2563542131,1176,,,"DSTK",2013-08-29T21:12:59Z,"locality",33.2736111,-85.8361111,
1477551554,10073,"CLAY COUNTY HEALTHCARE AUTHORITY","Alabama","Ashland","83825 Hwy 9, PO Box 1270",36251,1270,2563542131,1176,,,"DSTK",2013-08-29T21:12:59Z,"locality",33.2736111,-85.8361111,
1730120726,10034,"Community Hospital Inc","Alabama","Tallassee","805 Friendship Rd",36078,1234,3342836541,3734,,,"DSTK",2013-08-29T21:12:59Z,"locality",32.5358333,-85.89333329999999,
1023061496,10131,"CRESTWOOD HEALTHCARE LP","Alabama","Huntsville","1 Hospital Dr SW",35801,6455,2568823100,"",,,"DSTK",2013-08-29T21:12:59Z,"locality",34.7302778,-86.5861111,
1114919339,10035,"Cullman Regional Medical Center, Inc","Alabama","Cullman","1912 Al Highway 157, P.O. BOX 1108",35058,609,2567372655,"",,,"DSTK",2013-08-29T21:12:59Z,"postal_code",42.0904725173923,-72.53552917703659,
1114919339,10035,"Cullman Regional Medical Center, Inc","Alabama","Cullman","1912 Al Highway 157, P.O. BOX 1108",35058,609,2567372655,"",,,"DSTK",2013-08-29T21:12:59Z,"postal_code",42.0904725173923,-72.53552917703659,
1609811538,10099,"D.W. McMillan Memorial Hospital","Alabama","Brewton","1301 Belleville Avenue",36426,"",2518678429,"",,,"DSTK",2013-08-29T21:12:59Z,"locality",31.105,-87.0722222,
1609811538,10099,"D.W. McMillan Memorial Hospital","Alabama","Brewton","1301 Belleville Avenue",36426,"",2518678429,"",,,"DSTK",2013-08-29T21:12:59Z,"locality",31.105,-87.0722222,
1942380357,10021,"DALE MEDICAL CENTER","Alabama","Ozark","126 Hospital Ave",36360,2018,3347742601,1251,,,"DSTK",2013-08-29T21:12:59Z,"locality",31.4588889,-85.6405556,
1942380357,10021,"DALE MEDICAL CENTER","Alabama","Ozark","126 Hospital Ave",36360,2018,3347742601,1251,,,"DSTK",2013-08-29T21:13:00Z,"locality",31.4588889,-85.6405556,
1841394418,10092,"DCH HEALTH CARE AUTHORITY","Alabama","Tuscaloosa","809 University Blvd E",35401,2029,2057597738,"",,,"DSTK",2013-08-29T21:13:00Z,"locality",33.2097222,-87.5691667,
1891770368,10148,"Evergreen Medical Center LLC","Alabama","Evergreen","101 Crestview Ave",36401,3333,2515782480,"",,,"DSTK",2013-08-29T21:13:00Z,"locality",31.4333333,-86.9569444,
1891770368,10148,"Evergreen Medical Center LLC","Alabama","Evergreen","101 Crestview Ave",36401,3333,2515782480,"",,,"DSTK",2013-08-29T21:13:00Z,"locality",31.4333333,-86.9569444,
1053382655,10083,"Foley Hospital Corporation","Alabama","Foley","1613 N McKenzie St",36535,2247,2519493400,"",,,"DSTK",2013-08-29T21:13:00Z,"locality",30.4063889,-87.68361109999999,
1710901178,10012,"FORT PAYNE HOSPITAL ORGANIZATION","Alabama","Fort Payne","200 Medical Center Dr",35968,"",2568453150,"",,,"DSTK",2013-08-29T21:13:00Z,"locality",34.4441667,-85.71972220000001,
1225081516,10040,"GADSDEN REGIONAL MEDICAL CENTER LLC","Alabama","Gadsden","1007 Goodyear Ave",35903,1195,2564944000,"",,,"DSTK",2013-08-29T21:13:00Z,"locality",34.0141667,-86.0066667,
