PROVIDER NPI,PROVIDER CCN,PROVIDER - ORG NAME,PROVIDER STATE,PROVIDER CITY,PROVIDER  ADDRESS,PROVIDER ZIP 5 CD,PROVIDER ZIP 4 CD,PROVIDER PHONE NUM,PROVIDER PHONE EXT,PROGRAM YEAR 2011,PROGRAM YEAR 2012,PROGRAM YEAR 2013,geo.provider,geo.updated_at,geo.data.types.0,geo.data.geometry.location.lat,geo.data.geometry.location.lng,general.hospital_type,general.hospital_owner,general.emergency_services,general.country_name,hcahps.survey_response_rate_percent,hcahps.number_of_completed_surveys,hcahps.percent_of_patients_who_reported_yes_they_would_definitely_recommend_the_hospital_
1215976675,"010038","Anniston HMA LLC","Alabama","Anniston","301 E 18th St","36207","3952",2562358906,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1568453389,"010059","Attentus Moulton, LLC","Alabama","Moulton","202 Hospital St","35650","1218",2569742200,"","FALSE","TRUE","FALSE",,,,,,,,,,,,
1356344915,"010025","Chattahoochee Valley Hospital Society","Alabama","Valley","4800 48th St","36854","3666",3347569180,1491,"TRUE","TRUE","FALSE",,,,,,,,,,,,
1659387082,"010043","Clanton Hospital LLC","Alabama","Clanton","1010 Lay Dam Rd","35045","2306",7709337048,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1659387082,"010043","Clanton Hospital LLC","Alabama","Clanton","1010 Lay Dam Rd","35045","2306",4047884861,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1477551554,"010073","CLAY COUNTY HEALTHCARE AUTHORITY","Alabama","Ashland","83825 Hwy 9, PO Box 1270","36251","1270",2563542131,1176,"TRUE","TRUE","FALSE",,,,,,,,,,,,
1730120726,"010034","Community Hospital Inc","Alabama","Tallassee","805 Friendship Rd","36078","1234",3342836541,3734,"FALSE","TRUE","FALSE",,,,,,,,,,,,
1023061496,"010131","CRESTWOOD HEALTHCARE LP","Alabama","Huntsville","1 Hospital Dr SW","35801","6455",2568823100,"","FALSE","FALSE","TRUE",,,,,,,,,,,,
1114919339,"010035","Cullman Regional Medical Center, Inc","Alabama","Cullman","1912 Al Highway 157, P.O. BOX 1108","35058","0609",2567372655,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1609811538,"010099","D.W. McMillan Memorial Hospital","Alabama","Brewton","1301 Belleville Avenue","36426","",2518678429,"","TRUE","TRUE","FALSE",,,,,,,,,,,,
1942380357,"010021","DALE MEDICAL CENTER","Alabama","Ozark","126 Hospital Ave","36360","2018",3347742601,1251,"TRUE","TRUE","FALSE",,,,,,,,,,,,
