PROVIDER NPI,PROVIDER CCN,PROVIDER / ORG NAME,PROVIDER STATE,PROVIDER CITY,PROVIDER  ADDRESS,PROVIDER ZIP 5 CD,PROVIDER ZIP 4 CD,PROVIDER PHONE NUM,PROVIDER PHONE EXT,PROGRAM YEAR,CALC PAYMENT  AMT ($)
     HOSPITALS,,,,,,,,,,,
1215976675,10038,Anniston HMA LLC,Alabama,Anniston,301 E 18th St,36207,3952,(256) 235-8906,,2012,"1,701,305.12"
1568453389,10059,ATTENTUS MOULTON LLC,Alabama,Moulton,202 Hospital St,35650,1218,(256) 974-2200,,2012,"1,526,082.40"
1497843940,10089,BAPTIST HEALTH SYSTEM INC,Alabama,Jasper,3400 Highway 78 E,35501,8907,(205) 387-4000,,2013,"1,660,066.77"
1053403220,10016,BAPTIST HEALTH SYSTEM INC,Alabama,Alabaster,1000 1st St N,35007,8703,(205) 620-8100,,2013,"1,847,679.46"
1396766267,10022,CENTRE HOSPITAL CORPORATION,Alabama,Centre,400 Northwood Dr,35960,1023,(256) 927-5531,,2013,"1,428,252.00"
1356344915,10025,Chattahoochee Valley Hospital Society,Alabama,Valley,4800 48th St,36854,3666,(334) 756-9180,1491,2011,"1,475,290.56"
1356344915,10025,Chattahoochee Valley Hospital Society,Alabama,Valley,4800 48th St,36854,3666,(334) 756-9180,1491,2012,"1,076,660.64"
1629166194,10101,CITIZENS BAPTIST MEDICAL CENTER,Alabama,Talladega,604 Stone Ave,35160,2217,(256) 362-8111,,2013,"1,101,093.11"
1659387082,10043,Clanton Hospital LLC,Alabama,Clanton,1010 Lay Dam Rd,35045,2306,(770) 933-7048,,2011,"1,053,400.00"
1659387082,10043,Clanton Hospital LLC,Alabama,Clanton,1010 Lay Dam Rd,35045,2306,(404) 788-4861,,2012,"994,650.00"
1477551554,10073,CLAY COUNTY HEALTHCARE AUTHORITY,Alabama,Ashland,"83825 Hwy 9, PO Box 1270",36251,1270,(256) 354-2131,1176,2011,"1,581,010.32"
1477551554,10073,CLAY COUNTY HEALTHCARE AUTHORITY,Alabama,Ashland,"83825 Hwy 9, PO Box 1270",36251,1270,(256) 354-2131,1176,2012,"1,081,500.00"
1508952235,10019,COLBERT COUNTY NW ALABAMA HEALTHCARE AUTHORITY,Alabama,Sheffield,1300 S Montgomery Ave,35660,6334,(256) 386-4005,,2013,"1,808,501.31"
1730120726,10034,Community Hospital Inc,Alabama,Tallassee,805 Friendship Rd,36078,1234,(334) 283-6541,3734,2012,"1,686,618.34"
1821078494,10036,COMMUNITY HOSPITAL OF ANDALUSIA INC,Alabama,Andalusia,849 S Three Notch St,36420,5325,(334) 222-8466,,2013,"1,380,996.68"
1023061496,10131,CRESTWOOD HEALTHCARE LP,Alabama,Huntsville,1 Hospital Dr SW,35801,6455,(256) 882-3100,,2013,"1,762,528.24"
1114919339,10035,"Cullman Regional Medical Center, Inc",Alabama,Cullman,"1912 Al Highway 157, P.O. BOX 1108",35058,609,(256) 737-2655,,2011,"1,995,171.94"
1114919339,10035,"Cullman Regional Medical Center, Inc",Alabama,Cullman,"1912 Al Highway 157, P.O. BOX 1108",35058,609,(256) 737-2655,,2012,"1,475,168.52"
1609811538,10099,D.W. McMillan Memorial Hospital,Alabama,Brewton,1301 Belleville Avenue,36426,,(251) 867-8429,,2011,"1,328,230.24"
1609811538,10099,D.W. McMillan Memorial Hospital,Alabama,Brewton,1301 Belleville Avenue,36426,,(251) 867-8429,,2012,"906,896.93"
1942380357,10021,DALE MEDICAL CENTER,Alabama,Ozark,126 Hospital Ave,36360,2018,(334) 774-2601,1251,2011,"1,365,630.32"
1942380357,10021,DALE MEDICAL CENTER,Alabama,Ozark,126 Hospital Ave,36360,2018,(334) 774-2601,1251,2012,"786,168.00"
1841394418,10092,DCH HEALTH CARE AUTHORITY,Alabama,Tuscaloosa,809 University Blvd E,35401,2029,(205) 759-7738,,2013,"4,176,303.12"
1891770368,10148,Evergreen Medical Center LLC,Alabama,Evergreen,101 Crestview Ave,36401,3333,(251) 578-2480,,2011,"1,457,216.52"
1891770368,10148,Evergreen Medical Center LLC,Alabama,Evergreen,101 Crestview Ave,36401,3333,(251) 578-2480,,2012,"1,016,313.87"
1053382655,10083,Foley Hospital Corporation,Alabama,Foley,1613 N McKenzie St,36535,2247,(251) 949-3400,,2012,"1,496,092.48"
1710901178,10012,FORT PAYNE HOSPITAL CORPORATION,Alabama,Fort Payne,200 Medical Center Dr,35968,,(256) 845-3150,,2013,"1,422,339.84"
1225081516,10040,GADSDEN REGIONAL MEDICAL CENTER LLC,Alabama,Gadsden,1007 Goodyear Ave,35903,1195,(256) 494-4000,,2013,"2,389,975.04"
1992755292,10062,GENEVA COUNTY HEALTHCARE AUTHORITY,Alabama,Geneva,1200 W Maple Ave,36340,1694,(334) 684-3655,5111,2012,"1,370,786.88"
1588779920,10051,GREENE COUNTY HOSPITAL & NURSING HOME,Alabama,EUTAW,509 WILSON AVE,35462,1064,(205) 372-3388,,2011,"1,164,000.00"
1588779920,10051,GREENE COUNTY HOSPITAL & NURSING HOME,Alabama,EUTAW,509 WILSON AVE,35462,1064,(205) 372-3388,,2012,"980,100.00"
1780655332,10150,Greenville Hospital Corporation,Alabama,Greenville,29 L V Stabler Dr,36037,3850,(334) 382-2671,,2012,"1,211,025.20"
1447303227,10100,"GULF HEALTH HOSPITALS, INC",Alabama,Fairhope,750 Morphy Ave,36532,1812,(251) 990-1505,,2012,"1,818,493.20"
1134164924,10129,"GULF HEALTH HOSPITALS, INC",Alabama,Bay Minette,1815 Hand Ave,36507,4110,(251) 580-1717,,2013,"719,819.80"
1225068935,10095,Hale County Hospital,Alabama,Greensboro,508 Green St,36744,2316,(334) 624-3024,247,2011,"963,600.00"
1225068935,10095,Hale County Hospital,Alabama,Greensboro,508 Green St,36744,2316,(334) 624-3024,247,2012,"793,950.00"
1982662557,10079,Health Care Authority of Athens and Limestone County,Alabama,Athens,700 W Market St,35611,2457,(256) 233-9292,,2011,"1,401,408.88"
1982662557,10079,Health Care Authority of Athens and Limestone County,Alabama,Athens,700 W Market St,35611,2457,(256) 233-9292,,2012,"1,195,062.17"
1891801718,10138,HILL HOSPITAL OF YORK,Alabama,York,751 Derby Dr,36925,2121,(205) 392-5263,,2012,"1,126,200.00"
1851323836,10045,HOSPICE OF FAYETTE MEDICAL CENTER,Alabama,Fayette,1653 Temple Ave N,35555,,(205) 932-5966,,2013,"1,363,288.20"
1164403861,10001,Houston County Healthcare Authority,Alabama,Dothan,1108 Ross Clark Cir,36301,3022,(334) 793-8111,8701,2012,"2,774,847.60"
1477562783,10047,"IVY CREEK OF BUTLER, LLC",Alabama,Georgiana,515 Miranda Avenue,36033,,(334) 376-2963,,2013,"800,502.67"
1598783904,10052,IVY CREEK OF TALLAPOOSA LLC,Alabama,Dadeville,201 Mariarden Rd,36853,,(256) 825-7821,202,2013,"1,143,464.00"
1477520526,10102,J PAUL JONES HOSPITAL,Alabama,Camden,317 McWilliams Ave,36726,1610,(334) 682-4131,,2011,"1,293,800.00"
1477520526,10102,J PAUL JONES HOSPITAL,Alabama,Camden,317 McWilliams Ave,36726,1610,(334) 682-4131,,2012,"870,150.00"
1659473916,10061,Jackson County Healthcare Authority,Alabama,Scottsboro,380 Woods Cove Rd,35768,,(256) 259-4444,3805,2012,"1,526,051.28"
1043262488,10024,"JACKSON HOSPITAL AND CLINIC, INC.",Alabama,Montgomery,1725 Pine St,36106,1109,(334) 293-8000,,2012,"2,883,413.68"
1952427874,10128,"JACKSON MEDICAL CENTER, LLC",Alabama,Jackson,220 Hospital Dr,36545,2459,(251) 246-9021,1105,2013,"682,200.00"
1467469502,10137,Jefferson County Commission,Alabama,Birmingham,"Cooper Green Mercy Hospital, 1515 6th Avenue South",35233,1601,(205) 930-3600,,2012,"381,470.22"
1275600967,10125,"LAKELAND COMMUNITY HOSPITAL, LLC",Alabama,Haleyville,42024 Highway 195,35565,7054,(205) 486-5213,,2012,"1,576,090.32"
1932160082,10044,"Marion Regional Medical Center, Inc.",Alabama,Hamilton,1256 Military St S,35570,5003,(662) 377-3978,,2012,"1,312,200.00"
1508934217,10010,Marshall Medical Center North,Alabama,Guntersville,8000 Al Highway 69,35976,7140,(256) 570-8000,,2011,"1,630,032.20"
1306914882,10005,Marshall Medical Center South,Alabama,Boaz,2505 US HWY 431 N,35957,758,(256) 593-8310,,2012,"1,577,919.76"
1013937705,10007,"MIZELL MEMORIAL HOSPITAL, INC.",Alabama,Opp,"702 N Main Street, P O Box 1010",36467,1010,(334) 493-3541,,2012,"1,395,260.62"
1558364802,10113,Mobile Infirmary Association,Alabama,Mobile,3 Mobile Infirmary Cir,36607,3520,(251) 435-4700,,2012,"3,895,377.30"
1457392904,10120,MONROE COUNTY HOSPITAL BOARD,Alabama,Monroeville,2016 S Alabama Ave,36460,3044,(251) 575-3111,,2013,"1,061,939.94"
1164423679,10109,PICKENS COUNTY MEDICAL CENTER,Alabama,Carrollton,"241 Robert K. Wilson Drive, P. O. Box 478",35447,,(205) 367-8111,142,2013,"1,129,744.00"
1144312430,10103,PRINCETON BAPTIST MEDICAL CENTER,Alabama,Birmingham,701 Princeton Ave SW,35211,1303,(205) 783-3000,,2013,"2,823,535.23"
1750480406,10008,Professional Resources Management of Crenshaw LLC,Alabama,Luverne,101 Hospital Cir,36049,7329,(334) 386-0343,714,2011,"1,155,800.00"
1750480406,10008,Professional Resources Management of Crenshaw LLC,Alabama,Luverne,101 Hospital Cir,36049,7329,(334) 386-0353,,2012,"736,350.00"
1992812382,10110,"Professional Resources Management, Inc.",Alabama,Union Springs,102 Conecuh Ave W,36089,1303,(334) 386-0343,714,2011,"1,132,183.00"
1992812382,10110,"Professional Resources Management, Inc.",Alabama,Union Springs,102 Conecuh Ave W,36089,1303,(334) 386-0343,714,2012,"722,821.05"
1720039712,10049,QHG of Enterprise Inc,Alabama,Enterprise,400 N Edwards St,36330,2510,(334) 347-0584,,2012,"1,209,093.00"
1265483267,10146,QHG of Jacksonville Inc,Alabama,Jacksonville,1701 Pelham Rd S,36265,3353,(256) 435-4970,,2012,"1,045,707.90"
1699096552,10157,"RCHP-Florence, LLC",Alabama,Muscle Shoals,201 W. Avalon Av.,35661,,(256) 386-1600,,2012,"1,417,462.20"
1477874337,10006,"RCHP-Florence, LLC",Alabama,Florence,205 Marengo St,35630,6033,(256) 768-9191,,2012,"2,331,812.60"
1730134123,10046,Riverview Regional Medical Center LLC,Alabama,Gadsden,600 S 3rd St,35901,5304,(256) 543-5200,,2012,"2,077,954.56"
1023050101,10168,"RUSSELL COUNTY COMMUNITY HOSPITAL, LLC",Alabama,Phenix City,4401 River Chase Dr,36867,7483,(334) 732-3000,,2012,"1,214,524.00"
1811913460,10065,Russell Hospital,Alabama,Alexander City,3316 Highway 280,35010,3369,(256) 329-7109,,2012,"1,276,194.56"
1316015241,10158,Russellville Hospital LLC,Alabama,Russellville,15155 Highway 43,35653,1975,(256) 332-1611,,2012,"1,447,877.76"
1215955729,10069,Southeast Alabama Regional Healthcare Authority,Alabama,Eufaula,820 W Washington St,36027,1855,(334) 688-7000,,2012,"1,324,437.54"
1003814971,10144,"Springhill Hospitals, Inc",Alabama,Mobile,3719 Dauphin St,36608,1753,(251) 344-9630,,2011,"2,002,162.38"
1003814971,10144,"Springhill Hospitals, Inc",Alabama,Mobile,3719 Dauphin St,36608,1753,(251) 344-9630,,2012,"1,506,384.60"
1447353941,10050,St. Vincent's Blount,Alabama,Oneonta,150 Gilbreath Dr,35121,2827,(205) 838-3343,,2012,"1,455,537.60"
1841308020,10011,St. Vincent's East,Alabama,Birmingham,50 Medical Park East Drive,35235,3401,(205) 838-3343,,2012,"2,739,626.40"
1841298999,10056,St. Vincent's Hospital,Alabama,Birmingham,810 St Vincent's Dr,35205,1601,(205) 838-3343,,2012,"3,192,443.52"
1992809305,10130,"St. Vincent's St. Clair, LLC",Alabama,Pell City,2805 Dr John Haynes Dr,35125,1448,(205) 838-3343,,2012,"1,442,430.00"
1972527265,10164,Sylacauga Health Care Authority Inc,Alabama,Sylacauga,315 W Hickory St,35150,2913,(256) 401-4000,,2011,"1,249,296.84"
1972527265,10164,Sylacauga Health Care Authority Inc,Alabama,Sylacauga,315 W Hickory St,35150,2913,(256) 401-4000,,2012,"1,150,426.44"
1255376828,10058,THE BIBB COUNTY HEALTHCARE AUTHORITY,Alabama,Centreville,208 Pierson Ave,35042,2918,(205) 926-4881,,2011,"1,297,800.00"
1255376828,10058,THE BIBB COUNTY HEALTHCARE AUTHORITY,Alabama,Centreville,208 Pierson Ave,35042,2918,(205) 926-4881,,2012,"871,500.00"
1154386431,10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,Alabama,Opelika,2000 Pepperell Pkwy,36801,5452,(334) 528-1275,,2011,"2,790,720.96"
1154386431,10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,Alabama,Opelika,2000 Pepperell Pkwy,36801,5452,(334) 528-1275,,2012,"2,114,788.50"
1104917780,10149,"The Health Care Authority for Baptist Health, an affiliate of UABHS",Alabama,Montgomery,2105 E South Blvd,36116,2409,(334) 286-2987,,2012,"1,118,530.50"
1700977105,10023,"The Health Care Authority for Baptist Health, an affiliate of UABHS",Alabama,Montgomery,2105 E South Blvd,36116,2409,(334) 286-2987,,2012,"1,973,902.32"
1942391230,10108,"The Health Care Authority for Baptist Health, an affiliate of UABHS",Alabama,Montgomery,2105 E South Blvd,36116,2409,(334) 286-2987,,2012,"1,290,259.56"
1447221056,10039,THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,Alabama,Huntsville,101 Sivley Rd SW,35801,4421,(256) 265-1000,,2013,"2,988,897.84"
1306885728,10032,THE HEALTH CARE AUTHORITY OF THE TOWN OF WEDOWEE,Alabama,Wedowee,209 Main St S,36278,5139,(256) 357-2111,,2012,"1,276,800.00"
1154435824,10033,The University of Alabama at Birmingham,Alabama,Birmingham,"619 19th Street South, JT 356",35249,6805,(205) 934-6249,,2012,"2,444,245.74"
1588690085,10112,TOMBIGBEE HEALTHCARE AUTHORITY,Alabama,Demopolis,105 US Highway 80 E,36732,3605,(334) 289-4000,,2012,"1,189,415.96"
1770814626,10126,Troy Hospital Health Care,Alabama,Troy,1330 Highway 231 S,36081,3058,(334) 670-5440,,2011,"1,048,002.48"
1235214768,10066,UNITED FLORALA INC.,Alabama,Florala,24273 FIFITH AVE,36442,189,(334) 858-3287,,2012,"1,641,200.00"
1063468072,10087,UNIVERSITY OF SOUTH ALABAMA,Alabama,Mobile,2451 Fillingim St,36617,2238,(251) 471-7110,,2013,"725,317.20"
1871655993,10118,VAUGHAN REGIONAL MEDICAL CENTER LLC,Alabama,Selma,1015 Medical Center Pkwy,36701,6748,(334) 418-4100,,2013,"1,573,535.60"
1487699203,11300,"Washington County Hospital Association, Inc",Alabama,Chatom,14600 St Stephens Ave,36518,,(251) 847-2223,281,2011,"341,806.01"
1093924458,20026,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,Alaska,Anchorage,4315 Diplomacy Dr,99508,5926,(907) 729-1941,,2012,"799,413.30"
1952348047,20017,"Galen Hospital Alaska, Inc.",Alaska,Anchorage,2801 Debarr Rd,99508,2932,(907) 276-1131,,2011,"1,001,107.80"
1952348047,20017,"Galen Hospital Alaska, Inc.",Alaska,Anchorage,2801 Debarr Rd,99508,2932,(907) 276-1131,,2012,"1,072,532.00"
1417975061,20006,Mat-Su Valley Medical Center LLC,Alaska,Palmer,2500 S Woodworth Loop,99645,8984,(907) 861-6000,,2012,"1,149,538.30"
1053363119,20001,PROVIDENCE HEALTH & SERVICES - WASHINGTON,Alaska,Anchorage,3200 Providence Dr,99508,4661,(907) 565-6522,,2012,"1,340,636.44"
1669639639,30126,"Apache Junction Hospital, LLC",Arizona,Mesa,515 N Mesa Drive,85201,5914,(480) 898-3333,,2012,"1,212,858.92"
1194758284,30088,Banner Baywood Medical Center,Arizona,Mesa,6644 E Baywood Ave,85206,1747,(480) 321-2000,,2012,"3,169,948.36"
1952560914,30061,Banner Boswell Medical Center,Arizona,Sun City,10601 W Santa Fe Dr,85351,3036,(623) 977-7211,,2012,"4,318,978.52"
1588823553,30093,Banner Del E Webb Medical Center,Arizona,Sun City West,14502 W Meeker Blvd,85375,5282,(623) 214-4000,,2012,"2,941,867.72"
1720011810,30065,Banner Desert Medical Center,Arizona,Mesa,1400 S Dobson Rd,85202,4707,(480) 412-3000,,2012,"1,463,871.96"
1275566200,30115,Banner Estrella Medical Center,Arizona,Phoenix,9201 W Thomas Rd,85037,3332,(623) 327-4000,,2012,"1,420,498.84"
1699884858,30122,Banner Gateway Medical Center,Arizona,Gilbert,1900 N Higley Rd,85234,1604,(480) 461-2745,,2012,"1,286,152.56"
1841224870,30002,Banner Good Samaritan Medical Center,Arizona,Phoenix,1111 E McDowell Rd,85006,2612,(602) 839-2000,,2012,"2,365,255.26"
1215961248,30105,Banner Heart Hospital,Arizona,Mesa,6750 E Baywood Ave,85206,1749,(480) 854-5000,,2012,"1,258,557.54"
1124341672,30130,Banner Ironwood Medical Center,Arizona,San Tan Valley,"37000 N Gantzel Rd, Banner Ironwood Medical Center",85140,7303,(480) 394-7004,,2012,"736,839.18"
1154355188,30089,Banner Thunderbird Medical Center,Arizona,Glendale,5555 W Thunderbird Rd,85306,4622,(602) 865-5555,,2012,"2,122,550.64"
1336118322,,Benson Hospital Corporation,Arizona,Benson,450 S Ocotillo Ave,85602,6403,(520) 586-2261,223,2012,"339,570.83"
1518968767,31312,Bisbee Hospital Association,Arizona,Bisbee,101 Cole Ave,85603,1327,(520) 432-6450,,2011,"339,418.33"
1518968767,31312,Bisbee Hospital Association,Arizona,Bisbee,101 Cole Ave,85603,1327,(520) 432-6450,,2012,"43,005.06"
1467537506,30010,Carondelet Health Network,Arizona,Tucson,1601 W St. Mary's Road,85745,2623,(520) 872-3000,,2012,"1,180,953.16"
1790860856,30011,Carondelet Health Network,Arizona,Tucson,350 North Wilmot Road,85711,,(520) 873-3000,,2012,"2,975,476.56"
1770563017,30100,Carondelet Heart & Vascular Institute,Arizona,Tucson,4888 N Stone Ave,85704,5749,(520) 696-2302,,2012,"970,698.08"
1437107208,30016,Casa Grande Community Hospital,Arizona,Casa Grande,1800 E Florence Blvd,85222,5303,(520) 381-6921,,2012,"1,891,048.98"
1871566521,31314,Cobre Valley Regional Medical Center,Arizona,Globe,5880 S Hospital Dr,85501,9447,(928) 425-3261,,2012,"433,012.96"
1841282852,31300,COMMUNITY HOSPITAL ASSOCIATION,Arizona,Wickenburg,520 Rose Ln,85390,1447,(928) 684-5421,3010,2012,"435,761.00"
1427335140,30113,DHHS IHS PHOENIX AREA,Arizona,Whiteriver,200 West Hospital Drive,85941,860,(928) 338-4911,,2012,"325,921.12"
1487652426,30074,DHHS PHS IHS TUCSON AREA IHS TUCSON SELLS INDIAN HOSPITAL,Arizona,SELLS,HIGHWAY 86 AND TOPAWA ROAD,85634,,(520) 383-7251,,2012,"185,400.00"
1508800129,30084,DHHS PHS NAIHS CHINLE COMPREHENSIVE HEALTH CARE FACILITY,Arizona,Chinle,Off Hwy 191 Hospital Road,86503,,(928) 674-7001,,2012,"496,334.52"
1780635078,30023,FLAGSTAFF MEDICAL CENTER,Arizona,Flagstaff,1200 N Beaver St,86001,3118,(928) 773-2006,,2013,"1,527,004.12"
1932249653,30120,Gilbert Hospital LLC,Arizona,Gilbert,5656 S Power Rd,85295,8487,(602) 460-3143,,2012,"491,008.06"
1780761866,30069,Havasu Regional Medical Center LLC,Arizona,Lake Havasu City,101 Civic Center Ln,86403,5607,(928) 855-8185,,2012,"1,988,574.56"
1750454344,31313,Holy Cross Hospital Inc,Arizona,Nogales,1171 W Target Range Road,85621,2465,(520) 285-3000,3000,2012,"4,826.58"
1093791170,30110,HOSPITAL DEVELOPMENT OF WEST PHOENIX INC,Arizona,Goodyear,13677 W McDowell Rd,85338,2618,(623) 882-1505,,2013,"1,797,643.07"
1629028295,30067,"La Paz Regional Hospital,Inc",Arizona,Parker,1200 W Mohave Rd,85344,6349,(928) 669-7400,,2012,"1,249,000.00"
1073576740,30022,Maricopa County Special Health Care District,Arizona,Phoenix,2601 E Roosevelt St,85008,4973,(602) 344-8469,,2012,"1,522,263.68"
1154392231,30103,Mayo Clinic Arizona,Arizona,Phoenix,5777 E Mayo Blvd,85054,4502,(480) 342-2000,,2012,"2,073,421.36"
1235212721,30121,Mountain Vista Medical Center LP,Arizona,Mesa,1301 S Crismon Rd,85209,3767,(480) 358-6100,,2012,"1,254,337.50"
1013060367,31302,Northern Cochise Community Hospital Inc,Arizona,Willcox,901 W Rex Allen Dr,85643,1009,(520) 384-3541,290,2012,"266,561.00"
1578515789,31304,Page Hospital,Arizona,Page,501 North Navajo,86040,,(928) 645-0131,,2012,"142,053.11"
1811086994,30117,"PHC-FORT MOHAVE, INC.",Arizona,Fort Mohave,5330 S Highway 95,86426,9225,(928) 788-2273,,2012,"1,414,846.84"
1194766543,30043,Sierra Vista Regional Health Center Inc,Arizona,Sierra Vista,300 El Camino Real,85635,2812,(520) 417-3001,,2012,"1,464,626.72"
1427009026,30037,St Lukes Medical Center LP,Arizona,Phoenix,1800 E Van Buren St,85006,3742,(602) 251-8642,,2012,"721,190.00"
1477876639,30071,"The Fort Defiance Indian Hospital Board, Incorporation",Arizona,Fort Defiance,"Corner of Route N12 & N7, P.O. Box 649",86504,649,(928) 729-8014,,2012,"418,319.88"
1174512792,30006,Tucson Medical Center,Arizona,Tucson,5301 E Grant Rd,85712,2805,(520) 324-2535,,2012,"2,710,520.10"
1154384899,30064,UNIVERSITY MEDICAL CENTER CORPORATION,Arizona,Tucson,1501 N Campbell Ave,85724,1,(520) 694-6501,,2013,"2,169,371.61"
1346291648,30007,VERDE VALLEY MEDICAL CENTER,Arizona,Cottonwood,269 S Candy Ln,86326,4158,(928) 773-2006,,2013,"1,659,212.38"
1992789200,30001,VHS ACQUISITION CORPORATION,Arizona,Phoenix,5102 W Campbell Ave,85031,1703,(623) 848-5107,,2013,"993,836.00"
1326022732,30083,VHS ACQUISITION SUBSIDIARY NUMBER 1 INC,Arizona,Phoenix,3929 E Bell Rd,85032,2112,(602) 923-5609,,2013,"1,456,218.20"
1326022765,30094,VHS OF ARROWHEAD INC,Arizona,Glendale,18701 N 67th Ave,85308,7100,(623) 561-7102,,2013,"1,650,533.80"
1477537363,30030,VHS OF PHOENIX INC,Arizona,Phoenix,2000 W Bethany Home Rd,85015,2443,(602) 246-5800,,2013,"1,935,938.73"
1699766592,31315,White Mountain Communities Hospital,Arizona,Springerville,118 S Mountain Ave,85938,5104,(928) 333-4368,,2012,"824,136.99"
1871534487,30118,YRMC HOME HEALTH SERVICES,Arizona,Prescott,1003 Willow Creek Rd,86301,1641,(928) 771-5660,,2012,"957,795.12"
1902897820,30012,YRMC HOME HEALTH SERVICES,Arizona,Prescott,1003 Willow Creek Rd,86301,1641,(928) 771-5660,,2012,"2,107,917.00"
1194706655,30013,Yuma Regional Medical Center,Arizona,Yuma,2400 S Ave A,85364,7127,(928) 344-2000,,2012,"4,474,686.72"
